bloco;faixa;ind;bif;y;x;vulgar;cient;fam;cap;fuste;estrato;fito;copa;obs;ref_y;ref_x;yy;xx
G6;1;1;A;2,8;1,5;;Ocotea puberula;;105,4;3;3;2;3;;7184300;677000;7184302,8;677001,5
G6;1;2;A;0,7;9,5;;Ocotea puberula;;68,1;4;3;3;3;;7184300;677000;7184300,7;677009,5
G6;1;3;A;7;8;;Cedrela fissilis;;51,6;3;2;2;2;;7184300;677000;7184307;677008
G6;1;4;A;6,7;7;;Ocotea bicolor;;34,5;2;2;3;3;;7184300;677000;7184306,7;677007
G6;1;5;A;10,7;9;;Luehea divaricata;;45,3;2;3;2;3;;7184300;677000;7184310,7;677009
G6;1;5;B;10,7;9;;Luehea divaricata;;41,7;2;3;2;3;;7184300;677000;7184310,7;677009
G6;1;6;A;10,7;8,5;;Casearia sylvestris;;36,9;1;2;2;2;;7184300;677000;7184310,7;677008,5
G6;1;7;A;11,5;3;;Citronella paniculata;;49,1;2;3;3;3;;7184300;677000;7184311,5;677003
G6;1;8;A;12,1;7;;Luehea divaricata;;41;3;3;3;2;;7184300;677000;7184312,1;677007
G6;1;9;A;14,9;8,8;;Matayba elaeagnoides;;31,9;2;2;2;3;;7184300;677000;7184314,9;677008,8
G6;1;10;A;14,6;5;;Casearia sylvestris;;31,8;1;2;3;2;;7184300;677000;7184314,6;677005
G6;1;11;A;14,8;3,5;;Casearia sylvestris;;31,6;3;2;3;3;;7184300;677000;7184314,8;677003,5
G6;1;12;A;14,9;3,5;;Luehea divaricata;;54,1;2;2;3;3;;7184300;677000;7184314,9;677003,5
G6;1;13;A;15,5;4;;Myrcia rostrata;;33,1;2;2;3;3;;7184300;677000;7184315,5;677004
G6;1;14;A;12,5;1;;Luehea divaricata;;32,1;3;3;3;3;;7184300;677000;7184312,5;677001
G6;1;15;A;14,9;0,8;;Matayba elaeagnoides;;41;1;3;3;3;;7184300;677000;7184314,9;677000,8
G6;1;16;A;20,3;3;;Symplocos tetrandra;;66;2;3;3;3;;7184300;677000;7184320,3;677003
G6;1;16;B;20,3;3;;Symplocos tetrandra;;72;2;3;3;3;;7184300;677000;7184320,3;677003
G6;1;17;A;20;7,5;;Casearia sylvestris;;50,1;1;2;3;3;;7184300;677000;7184320;677007,5
G6;1;18;A;23,7;7,5;;Symplocos tetrandra;;67,6;3;2;3;2;;7184300;677000;7184323,7;677007,5
G6;1;18;B;23,7;7,5;;Symplocos tetrandra;;41,6;4;2;2;2;;7184300;677000;7184323,7;677007,5
G6;1;19;A;22,3;1,8;;Lonchocarpus campestris;;33,1;3;2;3;3;;7184300;677000;7184322,3;677001,8
G6;1;20;A;24,2;2;;Symplocos tetrandra;;59;2;3;2;3;;7184300;677000;7184324,2;677002
G6;1;21;A;27,2;2,2;;Clethra scabra;;63,7;1;3;2;2;;7184300;677000;7184327,2;677002,2
G6;1;22;A;28,7;1,2;;Symplocos tetrandra;;51,2;3;2;2;2;;7184300;677000;7184328,7;677001,2
G6;1;23;A;30,2;9,9;;Symplocos tetrandra;;45,8;2;3;2;3;;7184300;677000;7184330,2;677009,9
G6;1;24;A;34,7;9,8;;Oreopanax fulvum;;36,7;4;2;2;3;;7184300;677000;7184334,7;677009,8
G6;1;25;A;34;7,5;;Araucaria angustifolia;;161,5;3;3;3;3;;7184300;677000;7184334;677007,5
G6;1;26;A;33,6;5,5;;Nectandra lanceolata;;35,7;2;2;3;2;;7184300;677000;7184333,6;677005,5
G6;1;27;A;35,6;6;;Ocotea puberula;;88,1;42;2;2;2;;7184300;677000;7184335,6;677006
G6;1;28;A;35,8;2;;Symplocos tetrandra;;73;2;3;2;3;;7184300;677000;7184335,8;677002
G6;1;29;A;38;9;;Luehea divaricata;;135,7;2;3;1;2;;7184300;677000;7184338;677009
G6;1;29;B;38,2;9;;Luehea divaricata;;122,7;2;3;1;2;;7184300;677000;7184338,2;677009
G6;1;29;C;38,5;9;;Luehea divaricata;;116,4;2;3;1;2;;7184300;677000;7184338,5;677009
G6;1;29;D;38;9,5;;Luehea divaricata;;157,2;2;3;1;2;;7184300;677000;7184338;677009,5
G6;1;30;A;41,1;9;;Symplocos tetrandra;;98,4;42;2;3;3;;7184300;677000;7184341,1;677009
